id,school_inep_fk
143,28016254
144,28016254
145,28016254
146,28016254
159,28016270
165,28016254
297,28016033
303,28016939
303,28030680
313,28002156
314,28002156
315,28002156
316,28002156
317,28002156
318,28002156
319,28002156
320,28002156
334,28001737
335,28001737
335,28016041
336,28001737
336,28016041
337,28016041
349,28001761
351,28001761
353,28001761
356,28001761
358,28001761
363,28030737
364,28030737
365,28030737
366,28005880
367,28001761
369,28001761
370,28001761
373,28005880
374,28005880
376,28016050
377,28016050
378,28016050
379,28016912
380,28005880
387,28016912
391,28002024
391,28030737
392,28002024
392,28016041
393,28002024
394,28016050
398,28030680
399,24074160
399,28016912
399,28030680
399,28030737
400,28030680
401,28030680
402,28030680
416,28001842
416,28016033
417,28001842
418,28001842
418,28016033
419,28001842
419,28016033
420,28016033
421,28001826
421,28016033
422,28001826
422,28016033
423,28001826
423,28005988
423,28016033
424,28001826
425,28001826
426,28001826
427,28001826
427,28005970
428,28001826
429,28001826
430,28005970
431,28005970
435,28001826
435,28005988
436,28005988
437,28005988
438,28001826
439,28001826
439,28005988
440,28001826
441,28001826
441,28005988
442,28001826
443,28001826
444,28001826
449,28005988
450,28001826
450,28005988
454,28005970
454,28016068
459,28016033
461,28005970
463,28005961
467,28005872
469,28005880
469,28016939
470,28005880
470,28016939
472,28005902
475,28001826
476,28030680
477,28030680
478,28030680
479,28005988
480,28005988
481,28005988
481,28030737
483,28005970
483,28016041
484,28005880
486,28005988
490,28001826
491,28001826
492,28001826
494,28016033
495,28001826
496,28001826
497,28001826
498,28001826
499,28001826
499,28016912
500,28001826
501,28016912
502,28016912
503,28016912
511,28016912
515,28001702
516,28001702
517,28001702
518,28001702
519,28001702
520,28001702
520,28016939
521,28001702
522,28001702
523,28001702
523,28113403
524,28001702
524,28016912
525,28001702
529,28113403
530,28113403
539,28016912
540,28016912
552,28001761
553,28001761
553,28016912
554,28001761
554,28016912
555,28001761
556,28001761
557,28001761
557,28030338
558,28001761
559,28001761
560,28113403
572,21022739
575,28001702
576,28001702
577,28001702
578,28001702
579,28001702
580,28002156
581,28001702
582,28001702
583,28001702
584,28001702
585,28001702
587,28001702
590,28002156
591,28002156
592,28002156
593,28002156
594,28002156
595,28002156
596,28002156
616,28001826
617,28001826
618,28001826
620,28001826
621,28001826
622,28001826
623,21022704
624,28001826
625,28001826
630,28001826
631,28001826
633,28001826
634,28001826
635,28001826
636,28001826
637,28001826
638,28001826
639,28001826
640,28001826
658,21022755
659,21022755
660,21022755
661,28001826
662,28001826
663,28001826
664,28001826
665,28001826
666,28001826
667,28001826
668,28001826
